target,genre_code,genre_name,confidence,needs_human,reason,human_label,txt_path
web206,5,政治・陰謀,0.083,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web206.txt
web207,5,政治・陰謀,0.067,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web207.txt
web209,5,政治・陰謀,0.125,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web209.txt
web211,2,カルト・宗教,0.05,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web211.txt
web213,5,政治・陰謀,0.2,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web213.txt
web214,2,カルト・宗教,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web214.txt
web215,2,カルト・宗教,0.2,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web215.txt
web216,1,投資・金融,0.152,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web216.txt
note163,3,恋愛・人間関係,0.269,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note163.txt
sn230,6,その他,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\sn230.txt
sn233,6,その他,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\sn233.txt
1遶,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
2遶,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\byousokude_itiokuenkasegujouken\3遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\byousokude_itiokuenkasegujouken\4遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\byousokude_itiokuenkasegujouken\5遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\byousokude_itiokuenkasegujouken\6遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\byousokude_itiokuenkasegujouken\7遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\butinukutikara\1遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\butinukutikara\2遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\butinukutikara\3遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\butinukutikara\4遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\butinukutikara\5遶.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\butinukutikara\6遶.txt,6,その他,0.0,True,txt_not_found,MEDIUM,NOT_FOUND
corpus\book\kimiwanazehatarakuka\ch1.txt,6,その他,0.0,True,txt_not_found,MEDIUM,NOT_FOUND
corpus\book\kimiwanazehatarakuka\ch2.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kimiwanazehatarakuka\ch3.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kimiwanazehatarakuka\ch4.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kimiwanazehatarakuka\ch5.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kimiwanazehatarakuka\ch6.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kyouikunohoukai\ch1.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kyouikunohoukai\ch2.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kyouikunohoukai\ch3.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kyouikunohoukai\ch4.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\book\kyouikunohoukai\ch5.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
corpus\corpus_archive\sn236.txt,6,その他,0.0,True,txt_not_found,HIGH,NOT_FOUND
